aba aba
abacı  aba-'dZ@
şişelenmemesi  SI-Se-len-me-me-'sI
şişineceğimiz  SI-SI-ne-dZe-GI-'mIz
şişkinliğini  SIS-kIn-lI-GI-'nI
şişleyen  SIS-le-'Zen
şişmanlığının  SIS-man-l@-G@-'n@n
şişmansın  SIS-man-'s@n
şizofrenisiydi  SI-zof-re-nI-sIZ-'dI
şoförümdür  So-f@'-rZm-'dZr
şov  Sov
şöleniyle  S@'-le-nIZ-'le
şöminelere  S@'-mI-ne-le-'re
şululuk  Su-lu-'luk
şunun  Su-'nun functional
şutları  Sut-la-'r@
şuursuzluğumsa  Su-ur-suz-lu-Gum-'sa
şükredecekler  SZk-re-de-dZek-'ler
şükretmekle  SZk-ret-mek-'le
şükrümü  SZk-rZ-'mZ
şükrüyle  SZk-rZZ-'le
şüphelenedursun  SZp-he-le-ne-dur-'sun
şüphelenirmiş  SZp-he-le-nIr-'mIS
tabaktakileri  ta-bak-ta-kI-le-'rI
tabettiriyor  ta-bet-tI-rI-'Zor
tablalardaki  tab-la-lar-da-'kI
tablolarındaki  tab-lo-la-r@n-da-'kI
tablolarınla  tab-lo-la-r@n-'la
tabularınız  ta-bu-la-r@-'n@z
tabutlara  ta-but-la-'ra
tabuttaydı  ta-but-taZ-'d@
tabyalar  tab-Za-'lar
tabyasıdır  tab-Za-s@-'d@r
tacizinin  ta-dZI-zI-'nIn
tadamasa  ta-da-ma-'sa
tadılabildiğini  ta-d@-la-bIl-dI-GI-'nI
tadımın  ta-d@-'m@n
tadımlarında  ta-d@m-la-r@n-'da
tadilatların  ta-dI-lat-la-'r@n
tahammülsüzce  ta-ham-mZl-sZz-'dZe
tahammülsüzleştik  ta-ham-mZl-sZz-leS-'tIk
tahrifatla  tah-rI-fat-'la
tahripkarı  tah-rIp-ka-'r@
tahsilatıyla  tah-sI-la-t@Z-'la
tahtalarından  tah-ta-la-r@n-'dan
tahtamıza  tah-ta-m@-'za
tahtırevanımız  tah-t@-re-va-n@-'m@z
tahvilinde  tah-vI-lIn-'de
takabiliriz  ta-ka-bI-lI-'rIz
takamayacakları  ta-ka-ma-Za-dZak-la-'r@
takastan  ta-kas-'tan
takdimdir  tak-dIm-'dIr
takılarınızın  ta-k@-la-r@-n@-'z@n
takıldığınızı  ta-k@l-d@-G@-n@-'z@
takılmasına  ta-k@l-ma-s@-'na
takılmayacaktım  ta-k@l-ma-Za-dZak-'t@m
takılmaz  ta-k@l-'maz
takılmışlar  ta-k@l-m@S-'lar
takılmıyorsa  ta-k@l-m@-Zor-'sa
takımadacık  ta-k@-ma-da-'dZ@k
takımı  ta-k@-'m@
takımındanız  ta-k@-m@n-da-'n@z
takımınkini  ta-k@-m@n-kI-'nI
takımlarınca  ta-k@m-la-r@n-'dZa
takımlarındakini  ta-k@m-la-r@n-da-kI-'nI
takınacağım  ta-k@-na-dZa-'G@m
takıverdi  ta-k@-ver-'dI
takıyorum  ta-k@-Zo-'rum
takipçileriyse  ta-kIp-tSI-le-rIZ-'se
takmaksızın  tak-mak-s@-'z@n
takmalarına  tak-ma-la-r@-'na
takriz  tak-'rIz
taksicileriyle  tak-sI-dZI-le-rIZ-'le
taksitlendirilip  tak-sIt-len-dI-rI-'lIp
taktığımın  tak-t@-G@-'m@n
taktırılabilir  tak-t@-r@-la-bI-'lIr
taktikleriymiş  tak-tIk-le-rIZ-'mIS
takunyalılarla  ta-kun-Za-l@-lar-'la
takviyeli  tak-vI-Ze-'lI
talebindeydi  ta-le-bIn-deZ-'dI
talihsiye  ta-lIh-sI-'Ze
talihsizlik  ta-lIh-sIz-'lIk
talihsizlikleriyle  ta-lIh-sIz-lIk-le-rIZ-'le
taliplerinin  ta-lIp-le-rI-'nIn
tamahkarlığa  ta-mah-kar-l@-'Ga
tamamladığıma  ta-mam-la-d@-G@-'ma
tamamlamalıdır  ta-mam-la-ma-l@-'d@r
tamamlamazdı  ta-mam-la-maz-'d@
tamamlanabilmektedir  ta-mam-la-na-bIl-mek-te-'dIr
tamamlarsın  ta-mam-lar-'s@n
tamamlayacağa  ta-mam-la-Za-dZa-'Ga
tamamlayınca  ta-mam-la-Z@n-'dZa
tamburini  tam-bu-rI-'nI
tamimine  ta-mI-mI-'ne
tampondan  tam-pon-'dan
tangırtıyı  tan-g@r-t@-'Z@
tangolardaki  tan-go-lar-da-'kI
tanıdıklarımızdır  ta-n@-d@k-la-r@-m@z-'d@r
tanığıdır  ta-n@-G@-'d@r
tanıklarda  ta-n@k-lar-'da
tanıklarını  ta-n@k-la-r@-'n@
tanımadıklarımız  ta-n@-ma-d@k-la-r@-'m@z
tanımadıklarımızla  ta-n@-ma-d@k-la-r@-m@z-'la
tanımayacaklarında  ta-n@-ma-Za-dZak-la-r@n-'da
tanımayanlarca  ta-n@-ma-Zan-lar-'dZa
tanımazsam  ta-n@-maz-'sam
tanımıyorsam  ta-n@-m@-Zor-'sam
tanımlamadır  ta-n@m-la-ma-'d@r
tanımlamalısınız  ta-n@m-la-ma-l@-s@-'n@z
tanımlaman  ta-n@m-la-'man
tanımlamanızı  ta-n@m-la-ma-n@-'z@
tanımlanıyoruz  ta-n@m-la-n@-Zo-'ruz
tanımlıklarının  ta-n@m-l@k-la-r@-'n@n
tanınanları  ta-n@-nan-la-'r@
tanınıyorsun  ta-n@-n@-Zor-'sun
tanınmadığının  ta-n@n-ma-d@-G@-'n@n
tanışabildiğiniz  ta-n@-Sa-bIl-dI-GI-'nIz
tanışsınlar  ta-n@S-s@n-'lar
tanıştık  ta-n@S-'t@k
tanıştıklarında  ta-n@S-t@k-la-r@n-'da
tanıştıranlar  ta-n@S-t@-ran-'lar
tanıştıranlardan  ta-n@S-t@-ran-lar-'dan
tanıştırmada  ta-n@S-t@r-ma-'da
tanıtamamasına  ta-n@-ta-ma-ma-s@-'na
tanıtamayacağımız  ta-n@-ta-ma-Za-dZa-G@-'m@z
tanıtılamadığı  ta-n@-t@-la-ma-d@-'G@
tanıtılmıştı  ta-n@-t@l-m@S-'t@
tanıyabilecek  ta-n@-Za-bI-le-'dZek
tanıyabilmekse  ta-n@-Za-bIl-mek-'se
tanıyamamam  ta-n@-Za-ma-'mam
tanıyormuşsun  ta-n@-Zor-muS-'sun
tankercilik  tan-ker-dZI-'lIk
tankeri  tan-ke-'rI
tankerim  tan-ke-'rIm
tanrılaştırmamalı  tan-r@-laS-t@r-ma-ma-'l@
tantanasından  tan-ta-na-s@n-'dan
tanzim  tan-'zIm
tapınağından  ta-p@-na-G@n-'dan
tapınağının  ta-p@-na-G@-'n@n
tapınaklarının  ta-p@-nak-la-r@-'n@n
tapınaktır  ta-p@-nak-'t@r
tapınıcıları  ta-p@-n@-dZ@-la-'r@
tapınmasında  ta-p@n-ma-s@n-'da
tapınmasından  ta-p@n-ma-s@n-'dan
tapmışlar  tap-m@S-'lar
tarafız  ta-ra-'f@z
tarafladır  ta-raf-la-'d@r
tarafsızlaştırma  ta-raf-s@z-laS-t@r-'ma
taraftandı  ta-raf-tan-'d@
taraftarındaysa  ta-raf-ta-r@n-daZ-'sa
taranabileceğini  ta-ra-na-bI-le-dZe-GI-'nI
taranacağını  ta-ra-na-dZa-G@-'n@
tarayıcılarında  ta-ra-Z@-dZ@-la-r@n-'da
tarımından  ta-r@-m@n-'dan
tarıyorsun  ta-r@-Zor-'sun
tarihçiden  ta-rIh-tSI-'den
tarihçilerce  ta-rIh-tSI-ler-'dZe
tarihide  ta-rI-hI-'de
tarikatlarda  ta-rI-kat-lar-'da
tartansız  tar-tan-'s@z
tartılmasa  tar-t@l-ma-'sa
tartışamamış  tar-t@-Sa-ma-'m@S
tartışamayanlar  tar-t@-Sa-ma-Zan-'lar
tartışayım  tar-t@-Sa-'Z@m
tartışılabilmesini  tar-t@-S@-la-bIl-me-sI-'nI
tartışılırken  tar-t@-S@-l@r-'ken
tartışılmadıkça  tar-t@-S@l-ma-d@k-'tSa
tartışıyorum  tar-t@-S@-Zo-'rum
tartışmazdan  tar-t@S-maz-'dan
tartışmazdık  tar-t@S-maz-'d@k
tartışmazsak  tar-t@S-maz-'sak
tartmayacaktır  tart-ma-Za-dZak-'t@r
tartmayan  tart-ma-'Zan
tarzlarıdır  tarz-la-r@-'d@r
tasarımcılığıyla  ta-sa-r@m-dZ@-l@-G@Z-'la
tasarısıdır  ta-sa-r@-s@-'d@r
tasarlamışlardı  ta-sar-la-m@S-lar-'d@
tasarlamışsa  ta-sar-la-m@S-'sa
tasarlanışı  ta-sar-la-n@-'S@
tasarlatılıp  ta-sar-la-t@-'l@p
tasarruflarıma  ta-sar-ruf-la-r@-'ma
tashihi  tas-hI-'hI
taslamasıdır  tas-la-ma-s@-'d@r
taslarla  tas-lar-'la
tasvibinin  tas-vI-bI-'nIn
taşağı  ta-Sa-'G@
taşımacılığın  ta-S@-ma-dZ@-l@-'G@n
taşımacıyız  ta-S@-ma-dZ@-'Z@z
taşımayız  ta-S@-ma-'Z@z
taşımazın  ta-S@-ma-'z@n
taşınabilirliğinin  ta-S@-na-bI-lIr-lI-GI-'nIn
taşınacağına  ta-S@-na-dZa-G@-'na
taşındığınızda  ta-S@n-d@-G@-n@z-'da
taşınmaktadırlar  ta-S@n-mak-ta-d@r-'lar
taşınmayanlara  ta-S@n-ma-Zan-la-'ra
taşınmazdı  ta-S@n-maz-'d@
taşınmışlardı  ta-S@n-m@S-lar-'d@
taşırmasına  ta-S@r-ma-s@-'na
taşıtın  ta-S@-'t@n
taşıtlardır  ta-S@t-lar-'d@r
taşıyamamasına  ta-S@-Za-ma-ma-s@-'na
taşıyıcılarından  ta-S@-Z@-dZ@-la-r@n-'dan
taşıyormuşsun  ta-S@-Zor-muS-'sun
taşkın  taS-'k@n
taşkınlaşarak  taS-k@n-la-Sa-'rak
taşkınlaştıranlar  taS-k@n-laS-t@-ran-'lar
taşladığımız  taS-la-d@-G@-'m@z
taşlamadır  taS-la-ma-'d@r
taşlanırsa  taS-la-n@r-'sa
taşralar  taS-ra-'lar
tatbikatlarda  tat-bI-kat-lar-'da
tatlanırım  tat-la-n@-'r@m
tatlanmıyor  tat-lan-m@-'Zor
tatmada  tat-ma-'da
tatmindense  tat-mIn-den-'se
tatminlerimi  tat-mIn-le-rI-'mI
tattırmanın  tat-t@r-ma-'n@n
tattırmayalım  tat-t@r-ma-Za-'l@m
tavanlarıyla  ta-van-la-r@Z-'la
tavanlısının  ta-van-l@-s@-'n@n
tavassutu  ta-vas-su-'tu
tavlada  tav-la-'da
tavsiyelerimizin  tav-sI-Ze-le-rI-mI-'zIn
tayfölçerini  taZ-f@'l-tSe-rI-'nI
tayfunlarında  taZ-fun-la-r@n-'da
tayiniyle  ta-ZI-nIZ-'le
tazeleyiveriyor  ta-ze-le-ZI-ve-rI-'Zor
taziyelerinin  ta-zI-Ze-le-rI-'nIn
tazminattan  taz-mI-nat-'tan
tebrikleşmeleri  teb-rIk-leS-me-le-'rI
tecritlere  tedZ-rIt-le-'re
tecrübesizlerden  tedZ-rZ-be-sIz-ler-'den
tecrübesizliğiydi  tedZ-rZ-be-sIz-lI-GIZ-'dI
tedarikçilerle  te-da-rIk-tSI-ler-'le
tedarikten  te-da-rIk-'ten
tedavileridir  te-da-vI-le-rI-'dIr
tedavilerini  te-da-vI-le-rI-'nI
tedavinde  te-da-vIn-'de
tedavülleri  te-da-vZl-le-'rI
tedhişçiliğin  ted-hIS-tSI-lI-'GIn
tedirgindi  te-dIr-gIn-'dI
tedirginsindir  te-dIr-gIn-sIn-'dIr
tedrisatın  ted-rI-sa-'t@n
teessürden  te-es-sZr-'den
tefekleri  te-fek-le-'rI
tefsiridir  tef-sI-rI-'dIr
tefsirime  tef-sI-rI-'me
tehditçilere  teh-dIt-tSI-le-'re
tehirlerinde  te-hIr-le-rIn-'de
tekelimize  te-ke-lI-mI-'ze
tekelleştiğini  te-kel-leS-tI-GI-'nI
tekerininde  te-ke-rI-nIn-'de
tekerleğinin  te-ker-le-GI-'nIn
tekerliyoruz  te-ker-lI-Zo-'ruz
tekevvünü  te-kev-vZ-'nZ
tekilliye  te-kIl-lI-'Ze
tekkeleriyle  tek-ke-le-rIZ-'le
tekletmedik  tek-let-me-'dIk
tekliflerininde  tek-lIf-le-rI-nIn-'de
tekliğimizi  tek-lI-GI-mI-'zI
teknisyenler  tek-nIs-Zen-'ler
teknolojideki  tek-no-lo-ZI-de-'kI
teknolojiler  tek-no-lo-ZI-'ler
tekrardan  tek-rar-'dan
tekrarlamalarla  tek-rar-la-ma-lar-'la
tekstten  tekst-'ten
telaffuzdaki  te-laf-fuz-da-'kI
telakkidir  te-lak-kI-'dIr
telaşlandığını  te-laS-lan-d@-G@-'n@
telaşlanırız  te-laS-la-n@-'r@z
teleferiğin  te-le-fe-rI-'GIn
telefonları  te-le-fon-la-'r@
telefonlarımda  te-le-fon-la-r@m-'da
telefonlaşırlarmış  te-le-fon-la-S@r-lar-'m@S
telefonumuzun  te-le-fo-nu-mu-'zun
telekızı  te-le-k@-'z@
televizyonuyuz  te-le-vIz-Zo-nu-'Zuz
tellala  tel-la-'la
tellerimde  tel-le-rIm-'de
telsizlerin  tel-sIz-le-'rIn
tembelleşeceğimi  tem-bel-le-Se-dZe-GI-'mI
tembelliklerin  tem-bel-lIk-le-'rIn
temellendirircesine  te-mel-len-dI-rIr-dZe-sI-'ne
temellilerin  te-mel-lI-le-'rIn
temizlenmediğinde  te-mIz-len-me-dI-GIn-'de
temizletmeniz  te-mIz-let-me-'nIz
temizleyemezsiniz  te-mIz-le-Ze-mez-sI-'nIz
temizliğimizin  te-mIz-lI-GI-mI-'zIn
temizsek  te-mIz-'sek
temle  tem-'le
temmuzlarda  tem-muz-lar-'da
temsilcinizim  tem-sIl-dZI-nI-'zIm
tencerelerden  ten-dZe-re-ler-'den
tenliği  ten-lI-'GI
tenoruyla  te-no-ruZ-'la
tepelemişti  te-pe-le-mIS-'tI
tepikleyenleri  te-pIk-le-Zen-le-'rI
tepileriydi  te-pI-le-rIZ-'dI
tepkimede  tep-kI-me-'de
tepkiselliğin  tep-kI-sel-lI-'GIn
tepmenin  tep-me-'nIn
tepmesine  tep-me-sI-'ne
tepsilerine  tep-sI-le-rI-'ne
teptiğimiz  tep-tI-GI-'mIz
teranesiyle  te-ra-ne-sIZ-'le
terasların  te-ras-la-'r@n
terbiyeli  ter-bI-Ze-'lI
terbiyesizle  ter-bI-Ze-sIz-'le
tercihlerimde  ter-dZIh-le-rIm-'de
tercümanlığın  ter-dZZ-man-l@-'G@n
tercümeyle  ter-dZZ-meZ-'le
tereddütler  te-red-dZt-'ler
terletiyorum  ter-le-tI-Zo-'rum
terleyebiliyor  ter-le-Ze-bI-lI-'Zor
terlikken  ter-lIk-'ken
terliyordu  ter-lI-Zor-'du
tersaneyi  ter-sa-ne-'ZI
terslenebilirler  ters-le-ne-bI-lIr-'ler
tersliklere  ters-lIk-le-'re
tertibatlarında  ter-tI-bat-la-r@n-'da
tertiplemiştik  ter-tIp-le-mIS-'tIk
tertiplemiyorsunuz  ter-tIp-le-mI-Zor-su-'nuz
tertipli  ter-tIp-'lI
terziliğiyle  ter-zI-lI-GIZ-'le
terzim  ter-'zIm
tescillenme  tes-dZIl-len-'me
tescilleyelim  tes-dZIl-le-Ze-'lIm
tesellim  te-sel-'lIm
tesisatımızı  te-sI-sa-t@-m@-'z@
tesisatlarınızı  te-sI-sat-la-r@-n@-'z@
tesislerimi  te-sIs-le-rI-'mI
tesissi  te-sIs-'sI
teslimatçının  tes-lI-mat-tS@-'n@n
tespitlerinize  tes-pIt-le-rI-nI-'ze
teşekküllerindeki  te-Sek-kZl-le-rIn-de-'kI
teşekkürüydü  te-Sek-kZ-rZZ-'dZ
teşhirciliğin  teS-hIr-dZI-lI-'GIn
teşkilatıydı  teS-kI-la-t@Z-'d@
teşkilatlanmalarını  teS-kI-lat-lan-ma-la-r@-'n@
teşneliği  teS-ne-lI-'GI
teşrifatçının  teS-rI-fat-tS@-'n@n
tetiğini  te-tI-GI-'nI
tetikleneceğine  te-tIk-le-ne-dZe-GI-'ne
teyelleyenler  te-Zel-le-Zen-'ler
tezahüratında  te-za-hZ-ra-t@n-'da
tezahürlerdeki  te-za-hZr-ler-de-'kI
tezatları  te-zat-la-'r@
tezgahlanıyordu  tez-gah-la-n@-Zor-'du
tezgahlayanın  tez-gah-la-Za-'n@n
tezgahtarlıkla  tez-gah-tar-l@k-'la
tezimize  te-zI-mI-'ze
tıkamayanları  t@-ka-ma-Zan-la-'r@
tıkayacağından  t@-ka-Za-dZa-G@n-'dan
tıkıştırılmıştı  t@-k@S-t@-r@l-m@S-'t@
tıklayınca  t@k-la-Z@n-'dZa
tında  t@n-'da
tınladığı  t@n-la-d@-'G@
tınlamaları  t@n-la-ma-la-'r@
tıpkısınca  t@p-k@-s@n-'dZa
tırmalıyorlardı  t@r-ma-l@-Zor-lar-'d@
tırmanamazsak  t@r-ma-na-maz-'sak
tırmanışımın  t@r-ma-n@-S@-'m@n
tırmanışımızın  t@r-ma-n@-S@-m@-'z@n
tırmanmadayız  t@r-man-ma-da-'Z@z
tırmanmayın  t@r-man-ma-'Z@n
tırsarak  t@r-sa-'rak
ticaretimiz  tI-dZa-re-tI-'mIz
ticaretlerimizi  tI-dZa-ret-le-rI-mI-'zI
ticaretsiz  tI-dZa-ret-'sIz
ticarilerinde  tI-dZa-rI-le-rIn-'de
tiplemesinin  tIp-le-me-sI-'nIn
tiplerindeyiz  tIp-le-rIn-de-'ZIz
tipleriniz  tIp-le-rI-'nIz
tişört  tI-'S@'rt
tişörtlünün  tI-S@'rt-lZ-'nZn
titizliğiydi  tI-tIz-lI-GIZ-'dI
titrediğinde  tIt-re-dI-GIn-'de
titremeseler  tIt-re-me-se-'ler
titreştiğinde  tIt-reS-tI-GIn-'de
titretmedim  tIt-ret-me-'dIm
titreye  tIt-re-'Ze
titriyorsak  tIt-rI-Zor-'sak
tiyatrocusuydum  tI-Zat-ro-dZu-suZ-'dum
tohumlayıp  to-hum-la-'Z@p
tokalaşıldı  to-ka-la-S@l-'d@
tokatlarlığını  to-kat-lar-l@-G@-'n@
tokum  to-'kum
tonajlarını  to-naZ-la-r@-'n@
tondaydı  ton-daZ-'d@
tonlarıydı  ton-la-r@Z-'d@
topalsız  to-pal-'s@z
toparlarsak  to-par-lar-'sak
topçusuyla  top-tSu-suZ-'la
toplamadığımız  top-la-ma-d@-G@-'m@z
toplamalıydık  top-la-ma-l@Z-'d@k
toplanacağının  top-la-na-dZa-G@-'n@n
toplanamazken  top-la-na-maz-'ken
toplanmıyorum  top-lan-m@-Zo-'rum
toplantımızdır  top-lan-t@-m@z-'d@r
toplarlar  top-lar-'lar
toplasaydın  top-la-saZ-'d@n
toplayabilirsem  top-la-Za-bI-lIr-'sem
toplayabilmiş  top-la-Za-bIl-'mIS
toplayamamaları  top-la-Za-ma-ma-la-'r@
toplulaştırılabilir  top-lu-laS-t@-r@-la-bI-'lIr
toplumsallaşan  top-lum-sal-la-'San
toplumuzu  top-lu-mu-'zu
topluymuş  top-luZ-'muS
topoğrafyasının  to-poG-raf-Za-s@-'n@n
topolojiler  to-po-lo-ZI-'ler
toprağı  top-ra-'G@
topraklarımda  top-rak-la-r@m-'da
topraksızlaşan  top-rak-s@z-la-'San
topuğuydu  to-pu-GuZ-'du
topuklamaları  to-puk-la-ma-la-'r@
topuluklar  to-pu-luk-'lar
torbalarınız  tor-ba-la-r@-'n@z
tornanın  tor-na-'n@n
torpilin  tor-pI-'lIn
tosa  to-'sa
toslatacak  tos-la-ta-'dZak
toslayacaklarını  tos-la-Za-dZak-la-r@-'n@
tozumsu  to-zum-'su
tozuyorsunuz  to-zu-Zor-su-'nuz
tökezlemeseydi  t@'-kez-le-me-seZ-'dI
tökezlenme  t@'-kez-len-'me
tökezleyenlerim  t@'-kez-le-Zen-le-'rIm
tökezleyerek  t@'-kez-le-Ze-'rek
törendir  t@'-ren-'dIr
törpületmişti  t@'r-pZ-let-mIS-'tI
tövbekardı  t@'v-be-kar-'d@
tözde  t@'z-'de
tözüm  t@'-'zZm
trajik  t-ra-'ZIk
traktörlerini  t-rak-t@'r-le-rI-'nI
traktörmüş  t-rak-t@'r-'mZS
trampetli  t-ram-pet-'lI
transferlerdi  t-rans-fer-ler-'dI
transitlere  t-ran-sIt-le-'re
travertenler  t-ra-ver-ten-'ler
tribününüzde  t-rI-bZ-nZ-nZz-'de
tropiklerde  t-ro-pIk-ler-'de
tufandık  tu-fan-'d@k
tufanla  tu-fan-'la
tugaylarını  tu-gaZ-la-r@-'n@
tuhaflaştığı  tu-haf-laS-t@-'G@
tunda  tun-'da
turistikleşme  tu-rIs-tIk-leS-'me
turizmcilikle  tu-rIzm-dZI-lIk-'le
turlatıyorlar  tur-la-t@-Zor-'lar
turlayamam  tur-la-Za-'mam
turnalardan  tur-na-lar-'dan
turneleriyle  tur-ne-le-rIZ-'le
turunculular  tu-run-dZu-lu-'lar
tuşladım  tuS-la-'d@m
tutabildiği  tu-ta-bIl-dI-'GI
tutabildik  tu-ta-bIl-'dIk
tutabilmeli  tu-ta-bIl-me-'lI
tutacağınız  tu-ta-dZa-G@-'n@z
tutamasa  tu-ta-ma-'sa
tutamayacağıma  tu-ta-ma-Za-dZa-G@-'ma
tutamayacağımız  tu-ta-ma-Za-dZa-G@-'m@z
tutanaklarına  tu-ta-nak-la-r@-'na
tutarınınsa  tu-ta-r@-n@n-'sa
tutarlarıysa  tu-tar-la-r@Z-'sa
tutayım  tu-ta-'Z@m
tutkunlarıyla  tut-kun-la-r@Z-'la
tutkunusunuz  tut-ku-nu-su-'nuz
tutmadı  tut-ma-'d@
tutmalar  tut-ma-'lar
tutmayasın  tut-ma-Za-'s@n
tutmuştular  tut-muS-tu-'lar
tutsaktık  tut-sak-'t@k
tutturamasaydı  tut-tu-ra-ma-saZ-'d@
tutturamayacağına  tut-tu-ra-ma-Za-dZa-G@-'na
tutturulabilecek  tut-tu-ru-la-bI-le-'dZek
tutuklanmam  tu-tuk-lan-'mam
tutuksuzların  tu-tuk-suz-la-'r@n
tutulamayacaktı  tu-tu-la-ma-Za-dZak-'t@
tutulduğum  tu-tul-du-'Gum
tutulduğunun  tu-tul-du-Gu-'nun
tutulmamı  tu-tul-ma-'m@
tutulmazı  tu-tul-ma-'z@
tutumlardır  tu-tum-lar-'d@r
tutumlarım  tu-tum-la-'r@m
tutumlu  tu-tum-'lu
tutumludan  tu-tum-lu-'dan
tutumlunun  tu-tum-lu-'nun
tutunamasın  tu-tu-na-ma-'s@n
tutunduğundan  tu-tun-du-Gun-'dan
tutundurulması  tu-tun-du-rul-ma-'s@
tutuştuklarına  tu-tuS-tuk-la-r@-'na
tutuşturulanı  tu-tuS-tu-ru-la-'n@
tuvaletçilik  tu-va-let-tSI-'lIk
tuzakladıkları  tu-zak-la-d@k-la-'r@
tuzaklanarak  tu-zak-la-na-'rak
tuzlasını  tuz-la-s@-'n@
tüccardırlar  tZdZ-dZar-d@r-'lar
tükeneduran  tZ-ke-ne-du-'ran
tükenmezliğinde  tZ-ken-mez-lI-GIn-'de
tüketemeyenler  tZ-ke-te-me-Zen-'ler
tüketicilerinde  tZ-ke-tI-dZI-le-rIn-'de
tüketildikçe  tZ-ke-tIl-dIk-'tSe
tüketmeden  tZ-ket-me-'den
tüketmişimdir  tZ-ket-mI-SIm-'dIr
tüketmişsiniz  tZ-ket-mIS-sI-'nIz
tüketmiyordu  tZ-ket-mI-Zor-'du
tükettiğimin  tZ-ket-tI-GI-'mIn
tüküreceğim  tZ-kZ-re-dZe-'GIm
tükürüklere  tZ-kZ-rZk-le-'re
tümleştirerek  tZm-leS-tI-re-'rek
tümlük  tZm-'lZk
tüneliyle  tZ-ne-lIZ-'le
tüpleridir  tZp-le-rI-'dIr
tüplülerden  tZp-lZ-ler-'den
türbanlılardır  tZr-ban-l@-lar-'d@r
türdeşleştirilmiş  tZr-deS-leS-tI-rIl-'mIS
türediklerine  tZ-re-dIk-le-rI-'ne
türküde  tZr-kZ-'de
türkülerdeki  tZr-kZ-ler-de-'kI
tütsülük  tZt-sZ-'lZk
tütsülükler  tZt-sZ-lZk-'ler
tüttürmüş  tZt-tZr-'mZS
tüylendim  tZZ-len-'dIm
tüyoculara  tZ-Zo-dZu-la-'ra
tüyünden  tZ-ZZn-'den
tüzellik  tZ-zel-'lIk
tüzüğün  tZ-zZ-'GZn
tüzüklerimizi  tZ-zZk-le-rI-mI-'zI
ucubelere  udZu-be-le-'re
ucundasın  u-dZun-da-'s@n
ucuzlamayacak  u-dZuz-la-ma-Za-'dZak
ucuzlatılmasına  u-dZuz-la-t@l-ma-s@-'na
ucuzlattığınız  u-dZuz-lat-t@-G@-'n@z
uçabilmişti  utSa-bIl-mIS-'tI
uçağınını  utSa-G@-n@-'n@
uçaklarıysa  u-tSak-la-r@Z-'sa
uçarılıkları  utSa-r@-l@k-la-'r@
uçmayacağını  utS-ma-Za-dZa-G@-'n@
uçucuların  utSu-dZu-la-'r@n
uçukluyken  u-tSuk-luZ-'ken
uçurduysa  u-tSur-duZ-'sa
uçurmadık  u-tSur-ma-'d@k
uçurmamaktı  u-tSur-ma-mak-'t@
uçurmuşken  u-tSur-muS-'ken
uçuruşumuzdu  utSu-ru-Su-muz-'du
uçuşmalarıydı  u-tSuS-ma-la-r@Z-'d@
ufakçanın  u-fak-tSa-'n@n
uğramamıştı  uG-ra-ma-m@S-'t@
uğraşamazlar  uG-ra-Sa-maz-'lar
uğraşıda  uG-ra-S@-'da
uğraşmamışlardır  uG-raS-ma-m@S-lar-'d@r
uğraşmamıştır  uG-raS-ma-m@S-'t@r
uğraştırmazlar  uG-raS-t@r-maz-'lar
uğratılamadığını  uG-ra-t@-la-ma-d@-G@-'n@
uğrayacaklarının  uG-ra-Za-dZak-la-r@-'n@n
uğrayıverdi  uG-ra-Z@-ver-'dI
uğrunun  uG-ru-'nun
uğurladılar  u-Gur-la-d@-'lar
uğurlamadığı  u-Gur-la-ma-d@-'G@
uğurlamadır  u-Gur-la-ma-'d@r
uğurlanırmış  u-Gur-la-n@r-'m@S
uğurlaş  u-Gur-'laS
uğurluyor  u-Gur-lu-'Zor
ukalalığımı  uka-la-l@-G@-'m@
ukdeleri  uk-de-le-'rI
ulaşabileceğimi  ula-Sa-bI-le-dZe-GI-'mI
ulaşamasaydık  ula-Sa-ma-saZ-'d@k
ulaşamayabileceği  ula-Sa-ma-Za-bI-le-dZe-'GI
ulaşamayabiliyorlar  ula-Sa-ma-Za-bI-lI-Zor-'lar
ulaşanlar  ula-San-'lar
ulaşılmadık  ula-S@l-ma-'d@k
ulaşılmaması  ula-S@l-ma-ma-'s@
ulaşıma  ula-S@-'ma
ulaşın  ula-'S@n
ulaşmalarının  u-laS-ma-la-r@-'n@n
ulaşmamızdaki  u-laS-ma-m@z-da-'kI
ulaştırılabildi  u-laS-t@-r@-la-bIl-'dI
ulaştırılabilirler  u-laS-t@-r@-la-bI-lIr-'ler
ulaştırmasından  u-laS-t@r-ma-s@n-'dan
ultrasondan  ult-ra-son-'dan
umara  uma-'ra
ummamıştır  um-ma-m@S-'t@r
ummayacağın  um-ma-Za-dZa-'G@n
umrelere  um-re-le-'re
umursamayışımın  u-mur-sa-ma-Z@-S@-'m@n
umursamazdı  u-mur-sa-maz-'d@
umursayamıyoruz  u-mur-sa-Za-m@-Zo-'ruz
umut  u-'mut
umutlanmakta  u-mut-lan-mak-'ta
unuta  unu-'ta
unutabiliyordu  unu-ta-bI-lI-Zor-'du
unutamaya  unu-ta-ma-'Za
unutamayacağınızı  unu-ta-ma-Za-dZa-G@-n@-'z@
unutmalarını  u-nut-ma-la-r@-'n@
unutturamaz  u-nut-tu-ra-'maz
unutturmamalı  u-nut-tur-ma-ma-'l@
